"n" "rep" "id" "error" "errorMessage" "b0_hat" "b1_hat" "g0_hat" "g1_hat" "d0_hat" "d1_hat" "l0_hat"
70 18 73 FALSE "" 1.10487444728494 1.14658774723925 0.96608895328259 2.26554544933256 -2.74435472789197 2.18492168722213 0.952675734550541
90 83 74 FALSE "" 1.05830528682267 1.21170431322374 1.22645840088898 1.78762585165028 -2.72245503693579 2.48137914379188 0.327621077344347
10 25 75 FALSE "" 1.26522484723492 0.878253562003434 1.24204289321282 1.75648671914031 -1.34577643530476 1.20014613485504 0.001
30 58 76 FALSE "" 0.927083395345053 1.22463505484325 1.21923496621768 1.54357383968538 -2.02360432362534 2.16072708711127 0.001
80 7 77 FALSE "" 0.983588638095136 1.36440621855966 1.07268774640323 2.12163899377557 -2.80218299176995 2.27537127323388 1.49003749515483
50 39 78 FALSE "" 0.911234539307655 1.58581441629061 1.23965612746974 1.66258763407775 -3.46293496800466 3.79802017110164 0.793290768018766
30 34 79 FALSE "" 0.940740025744438 1.28294901262297 0.931605926216718 2.32074774403509 -2.59419197354247 2.05835702280846 0.482251795448197
10 63 80 FALSE "" 0.590637962573594 1.67257187893501 0.292468301349919 2.93975199741968 -0.00308871911797652 -1.51335145591594 2.10261183105925
70 10 81 FALSE "" 0.837353769619471 1.58317830395888 1.13399103064291 1.83421428161395 -2.46149701047779 2.34108660971577 1.38517848909081
20 28 82 FALSE "" 1.09631535706802 1.45044296331848 0.811426157397848 2.36419847685683 -2.09962472687887 1.37268630095162 1.88202730428818
20 43 83 FALSE "" 1.23628134831424 0.015814651550428 1.13494665158516 1.34899522848138 -3.92390234370972 5.54384384260293 0.001
70 73 84 FALSE "" 1.04816209208896 1.3325144645573 1.09047112389582 2.07125940911588 -2.40023595465471 1.82314000364238 0.0609462071815223
40 3 85 FALSE "" 0.860784743152923 1.51030172130422 0.899444436115612 2.21170511368308 -2.01739061807318 1.73117724142635 1.61018323979578
80 18 86 FALSE "" 0.889163272789755 1.41038173272991 0.839783303798901 2.1371609814754 -2.40555194677588 2.14890116404171 0.691234806595467
10 51 87 TRUE "Error in dZIBP_HOL(x = y, l1 = l1, l2 = l2, l0 = l0, psi = psi, log = TRUE) : 
